workoutDate,workoutName,workoutStartTime,workoutEndTime,workoutIntensity,workoutUnit,workoutSoreness,exercise,setnum,reps,weight,rest,tut,rir
6/1/2026,Upper,06:00:00 AM,07:00:00 AM,7,kgs,,barbell_bench_press_flat,1,12,25,1.5Min,40Sec,3
6/1/2026,Upper,06:00:00 AM,07:00:00 AM,7,kgs,,barbell_bench_press_flat,2,10,27.5,1.5Min,40Sec,3
6/1/2026,Upper,06:00:00 AM,07:00:00 AM,7,kgs,,barbell_row_bent_over_pronated_grip,1,12,20,1.5Min,40Sec,3
6/1/2026,Upper,06:00:00 AM,07:00:00 AM,7,kgs,,barbell_row_bent_over_pronated_grip,2,10,22.5,1.5Min,40Sec,3
6/1/2026,Upper,06:00:00 AM,07:00:00 AM,7,kgs,,barbell_overhead_press_standing,1,12,10,1.5Min,40Sec,3
6/1/2026,Upper,06:00:00 AM,07:00:00 AM,7,kgs,,barbell_overhead_press_standing,2,10,12.5,1.5Min,40Sec,3
6/1/2026,Upper,06:00:00 AM,07:00:00 AM,7,kgs,,barbell_curl,1,15,9,1.5Min,40Sec,3
6/1/2026,Upper,06:00:00 AM,07:00:00 AM,7,kgs,,barbell_curl,2,12,11.5,1.5Min,40Sec,3
6/1/2026,Upper,06:00:00 AM,07:00:00 AM,7,kgs,,close_grip_bench_press,1,12,15,1.5Min,40Sec,3
6/1/2026,Upper,06:00:00 AM,07:00:00 AM,7,kgs,,close_grip_bench_press,2,10,17.5,1.5Min,40Sec,3
6/2/2026,Lower,06:00:00 AM,07:00:00 AM,7,kgs,,barbell_back_squat,1,12,20,1.5Min,40Sec,3
6/2/2026,Lower,06:00:00 AM,07:00:00 AM,7,kgs,,barbell_back_squat,2,10,22.5,1.5Min,40Sec,3
6/2/2026,Lower,06:00:00 AM,07:00:00 AM,7,kgs,,romanian_deadlift_barbell,1,12,15,1.5Min,40Sec,3
6/2/2026,Lower,06:00:00 AM,07:00:00 AM,7,kgs,,romanian_deadlift_barbell,2,10,17.5,1.5Min,40Sec,3
6/2/2026,Lower,06:00:00 AM,07:00:00 AM,7,kgs,,leg_press,1,15,20,1.5Min,40Sec,3
6/2/2026,Lower,06:00:00 AM,07:00:00 AM,7,kgs,,leg_press,2,12,30,1.5Min,40Sec,3
6/2/2026,Lower,06:00:00 AM,07:00:00 AM,7,kgs,,standing_calf_raise_machine,1,15,40,1.5Min,40Sec,3
6/2/2026,Lower,06:00:00 AM,07:00:00 AM,7,kgs,,standing_calf_raise_machine,2,15,40,1.5Min,40Sec,3
6/2/2026,Lower,06:00:00 AM,07:00:00 AM,7,kgs,,glute_bridge_barbell,1,15,10,1.5Min,40Sec,3
6/2/2026,Lower,06:00:00 AM,07:00:00 AM,7,kgs,,glute_bridge_barbell,2,12,15,1.5Min,40Sec,3
6/4/2026,Upper,06:00:00 AM,07:00:00 AM,7,kgs,,barbell_bench_press_flat,1,12,25,1.5Min,40Sec,3
6/4/2026,Upper,06:00:00 AM,07:00:00 AM,7,kgs,,barbell_bench_press_flat,2,10,27.5,1.5Min,40Sec,3
6/4/2026,Upper,06:00:00 AM,07:00:00 AM,7,kgs,,barbell_row_bent_over_pronated_grip,1,12,20,1.5Min,40Sec,3
6/4/2026,Upper,06:00:00 AM,07:00:00 AM,7,kgs,,barbell_row_bent_over_pronated_grip,2,10,22.5,1.5Min,40Sec,3
6/4/2026,Upper,06:00:00 AM,07:00:00 AM,7,kgs,,barbell_overhead_press_standing,1,12,10,1.5Min,40Sec,3
6/4/2026,Upper,06:00:00 AM,07:00:00 AM,7,kgs,,barbell_overhead_press_standing,2,10,12.5,1.5Min,40Sec,3
6/4/2026,Upper,06:00:00 AM,07:00:00 AM,7,kgs,,barbell_curl,1,15,9,1.5Min,40Sec,3
6/4/2026,Upper,06:00:00 AM,07:00:00 AM,7,kgs,,barbell_curl,2,12,11.5,1.5Min,40Sec,3
